,zcta,poverty_rate,unemployment_rate,median_household_income
67,12841,6.0606060606060606,1.8181818181818181,51250.0
68,12842,11.668757841907151,0.13736263736263737,58398.0
69,12845,5.946935041171089,2.1899668958492486,61868.0
70,12852,8.64864864864865,1.4577259475218658,53875.0
71,12858,12.931034482758621,0.0,102727.0
72,12860,19.80392156862745,2.2540983606557377,72339.0
73,12863,7.18562874251497,3.376205787781351,104018.0
74,12865,14.200680272108842,3.069139966273187,57061.0
75,12169,3.571428571428571,6.910569105691057,102857.0
76,12176,17.29490022172949,0.0,-666666666.0
77,12185,3.0607124937280483,1.4621741894469167,80500.0
78,12202,33.0016782546152,4.361605795351645,27750.0
79,12008,4.04191616766467,0.0,97083.0
80,12028,8.362779740871613,2.759526938239159,74091.0
81,12035,13.850415512465375,3.074433656957929,58250.0
82,12061,3.986006572670412,1.425891181988743,98226.0
83,12092,2.6595744680851063,4.450625869262865,35878.0
84,12110,3.396104941252213,2.0128386465020127,81953.0
85,12147,8.829568788501026,0.0,76250.0
86,12160,5.613305613305614,6.216931216931217,65469.0
87,12180,19.643996295915215,3.553008595988539,55315.0
88,12184,10.733778047301394,2.1164021164021163,75757.0
89,12196,8.465303771955082,1.2495266944339267,94766.0
90,12198,3.4951703101169294,4.251469923111714,77714.0
91,12208,15.192571888767825,2.4202944603325918,64295.0
92,12210,22.50860899509548,4.758418740849195,40966.0
93,12412,11.416490486257928,0.0,64702.0
94,12423,21.523809523809522,1.7064846416382253,52708.0
95,12427,13.953488372093023,0.0,-666666666.0
96,12434,15.320665083135394,2.414772727272727,37434.0
97,12442,15.703703703703702,4.397394136807818,29091.0
98,12448,0.0,0.0,123393.0
99,12449,6.444977716832362,3.0173827484421123,52799.0
100,12458,15.413135593220339,1.8698870276587458,46488.0
101,12459,0.0,0.0,-666666666.0
102,12461,9.250302297460701,0.0,80808.0
103,12471,8.896797153024911,0.0,78516.0
104,14024,13.298902517753389,2.2672064777327936,64583.0
105,14075,5.902769579486695,1.5866808201575506,73610.0
106,14081,21.209117938553025,7.142857142857142,46389.0
