Reporting Year,"Aggregate Level (Citywide, Borough, Council District, Census Tract)",Aggregate Level ID,Total #Storefronts,Median Square Feet,Average Square Feet,#Storefront leased to tenants,#Storefront leased and not operating on 12/31,Median Monthly Rent Per Square Foot,Average Monthly Rent Per Square Foot,Median Years Leased,Average Years Leased,#Storefronts with Leases Ending after 12/31,Median Years Lease Term Remaining after 12/31,Average Years Lease Term Remaining after 12/31,Number whose lease is due to expire within the two years after 6/1,#Storefront Reported Occupied by Owner,Median Years Occupied by Owner,Average Years Occupied by Owner,#Storefront reported Not Leased and Not Owner Occupied,Median Years Not Leased and Not Owner Occupied,Average Years Not Leased and Not Owner Occupied,#Storefront under construction with DOB Projects Listed,Median years for construction projects,Average years for construction projects
2021,Census Tract,5.0112.01,51,1440.00,2245.90,42,0,3.00,4.09,4.58,5.65,22,2.46,3.75,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0105.00,32,1410.00,2731.91,22,0,4.00,8.25,9.17,11.35,16,0.67,2.16,10,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0096.02,27,1200.00,2510.52,22,*,4.92,10.68,4.98,7.23,12,2.98,4.90,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0096.01,26,1617.00,2575.00,18,0,2.25,2.82,1.00,7.27,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0074.00,14,967.00,1661.71,13,11,25.00,20.69,1.00,3.99,*,*,*,0,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0070.00,39,1200.00,3629.79,34,*,2.12,3.77,1.00,4.28,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0067.00,15,1000.00,2550.27,13,*,3.00,3.10,1.00,4.24,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0064.00,27,2400.00,3375.19,19,0,2.00,3.61,1.00,9.00,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0059.00,13,1500.00,2514.31,11,*,4.00,12.42,10.01,12.60,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0050.00,22,1261.00,2231.55,18,*,2.83,2.91,5.00,6.64,11,3.92,3.08,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0040.00,10,1000.00,10198.90,*,*,*,*,*,*,*,*,*,0,*,*,*,0,0.00,0.00,0,0.00,0.00
2021,Census Tract,5.0027.00,12,1555.50,1957.42,*,*,*,*,*,*,*,*,*,0,*,*,*,*,*,*,0,0.00,0.00
